Date;Para;Codigo;Rollos;Metros
06/01/23;Para Fabrica;Mesh Negro;5;250
06/01/23;Para Fabrica;Sijia - 1500D;2;100
06/01/23;Para Fabrica;Sijia - Azul/Naranja;3;130
06/01/23;Para Fabrica;Sijia - Blue 18oz Fabric;3;150
06/01/23;Para Fabrica;Sijia - Cyan 18oz Fabric;3;168
06/01/23;Para Fabrica;Sijia - Green 18oz Fabric;3;150
06/01/23;Para Fabrica;Sijia - Grey 18oz Fabric;2;100
06/01/23;Para Fabrica;Sijia - Gris/Blanco;4;200
06/01/23;Para Fabrica;Sijia - Purple 18oz Fabric;2;95
06/01/23;Para Fabrica;Sijia - Red 18oz Fabric;2;99
06/01/23;Para Fabrica;Sijia - White 18oz Fabric;2;100
06/01/23;Para Fabrica;Sijia - White Az Slide Fabric;1;50
06/01/23;Para Fabrica;Sijia - Yellow 18oz Fabric;2;100
06/01/23;Para Fabrica;Sijia - Yellow Az Slide Fabric;1;63
19/01/23;Para Fabrica;Dropstich 20cm;1;60
13/02/23;Para Fabrica;Sijia - Black 18oz Fabric;1;50
13/02/23;Para Venta;Sijia - Black 18oz Fabric;1;50
13/02/23;Para Venta;Sijia - Blue 18oz Fabric;2;100
13/02/23;Para Venta;Sijia - Grey 18oz Fabric;1;50
13/02/23;Para Fabrica;Sijia - Gris/Blanco;2;100
14/02/23;Para Fabrica;Dropstich 20cm;1;60
17/02/23;Para Venta;Sijia - White 18oz Fabric;6;300
02/03/23;Para Fabrica;Dropstich 20cm;1;60
06/03/23;Para Fabrica;Mesh Negro;2;100
06/03/23;Para Fabrica;Sijia - 1500D;2;100
06/03/23;Para Fabrica;Sijia - Azul/Naranja;2;100
06/03/23;Para Fabrica;Sijia - Gris/Blanco;2;100
07/03/23;Para Fabrica;Sijia - Blue 18oz Fabric;1;50
14/03/23;Para Venta;Sijia - Blue 18oz Fabric;2;100
14/03/23;Para Venta;Sijia - Grey 18oz Fabric;1;50
15/03/23;Para Fabrica;Sijia - Azul/Naranja;2;100
15/03/23;Para Fabrica;Sijia - Gris/Blanco;2;100
15/03/23;Para Fabrica;Sijia - White 18oz Fabric;1;50
16/03/23;Para Fabrica;Mesh Negro;2;100
16/03/23;Para Fabrica;Sijia - Black 18oz Fabric;1;50
16/03/23;Para Fabrica;Sijia - Green 18oz Fabric;2;100
16/03/23;Para Fabrica;Sijia - Yellow 18oz Fabric;2;100
20/03/23;Para Fabrica;Dropstich 20cm;1;60
21/03/23;Para Fabrica;Sijia - Azul/Naranja;3;118
22/03/23;Para Fabrica;Mesh Negro;4;200
22/03/23;Para Fabrica;Sijia - Blue 18oz Fabric;1;54
22/03/23;Para Fabrica;Sijia - Blue 18oz Fabric;2;100
22/03/23;Para Fabrica;Sijia - Orange 18oz Fabric;1;50
22/03/23;Para Fabrica;Sijia - Red 18oz Fabric;1;50
22/03/23;Para Fabrica;Sijia - White 18oz Fabric;1;50
22/03/23;Para Fabrica;Sijia - Yellow 18oz Fabric;1;50
04/04/23;Para Venta;Sijia - Blue 18oz Fabric;4;200
06/04/23;Para Fabrica;Mesh Negro;1;50
06/04/23;Para Fabrica;Sijia - 1500D;2;100
06/04/23;Para Fabrica;Sijia - Azul/Naranja;3;150
06/04/23;Para Fabrica;Sijia - Blue 18oz Fabric;2;100
06/04/23;Para Fabrica;Sijia - Cyan 18oz Fabric;2;100
06/04/23;Para Fabrica;Sijia - Red 18oz Fabric;1;50
06/04/23;Para Fabrica;Sijia - White Az Slide Fabric;1;50
13/04/23;Para Fabrica;Dropstich 20cm;1;60
17/04/23;Para Venta;Sijia - Blue 18oz Fabric;2;100
20/04/23;Para Fabrica;Mesh Negro;4;200
20/04/23;Para Fabrica;Sijia - Cyan 18oz Fabric;2;100
20/04/23;Para Fabrica;Sijia - Red 18oz Fabric;3;150
21/04/23;Para Venta;Sijia - Grey 18oz Fabric;1;50
28/04/23;Para Fabrica;Sijia - Azul/Naranja;3;150
28/04/23;Para Fabrica;Sijia - Cyan 18oz Fabric;2;100
28/04/23;Para Fabrica;Sijia - Grey 18oz Fabric;1;50
28/04/23;Para Fabrica;Sijia - Red 18oz Fabric;3;150
02/05/23;Para Fabrica;Sijia - Blue 18oz Fabric;1;50
04/05/23;Para Fabrica;Sijia - Green 18oz Fabric;2;100
04/05/23;Para Fabrica;Sijia - White 18oz Fabric;1;50
04/05/23;Para Fabrica;Sijia - Yellow 18oz Fabric;2;100
12/05/23;Para Fabrica;Mesh Negro;3;150
12/05/23;Para Fabrica;Sijia - 1500D;1;50
12/05/23;Para Fabrica;Sijia - Azul/Naranja;1;50
12/05/23;Para Fabrica;Sijia - Blue 18oz Fabric;1;50
12/05/23;Para Fabrica;Sijia - Green 18oz Fabric;1;50
12/05/23;Para Fabrica;Sijia - Gris/Blanco;2;100
12/05/23;Para Fabrica;Sijia - Purple 18oz Fabric;2;100
12/05/23;Para Fabrica;Sijia - Red 18oz Fabric;1;50
12/05/23;Para Fabrica;Sijia - Yellow 18oz Fabric;1;50
18/05/23;Para Fabrica;Dropstich 20cm;1;60
18/05/23;Para Fabrica;Sijia - Grey 18oz Fabric;1;50
19/05/23;Para Fabrica;Mesh Negro;1;50
19/05/23;Para Fabrica;Sijia - 1500D;1;50
19/05/23;Para Fabrica;Sijia - Blue 18oz Fabric;2;100
19/05/23;Para Fabrica;Sijia - Cyan 18oz Fabric;1;50
19/05/23;Para Fabrica;Sijia - Green 18oz Fabric;1;50
19/05/23;Para Fabrica;Sijia - Red 18oz Fabric;1;50
19/05/23;Para Fabrica;Sijia - Yellow 18oz Fabric;2;100
19/05/23;Para Fabrica;Sijia - Yellow Az Slide Fabric;1;50
23/05/23;Para Fabrica;Sijia - Black 18oz Fabric;1;50
24/05/23;Para Fabrica;Mesh Negro;4;200
24/05/23;Para Fabrica;Sijia - Azul/Naranja;2;100
24/05/23;Para Fabrica;Sijia - Blue 18oz Fabric;2;100
24/05/23;Para Fabrica;Sijia - Green 18oz Fabric;2;100
24/05/23;Para Fabrica;Sijia - Purple 18oz Fabric;4;200
24/05/23;Para Fabrica;Sijia - Yellow Az Slide Fabric;1;50
31/05/23;Para Fabrica;Sijia - White 18oz Fabric;1;50
07/06/23;Para Fabrica;Mesh Negro;2;100
07/06/23;Para Fabrica;Sijia - Azul/Naranja;2;100
07/06/23;Para Fabrica;Sijia - Green 18oz Fabric;2;100
07/06/23;Para Fabrica;Sijia - Purple 18oz Fabric;2;100
07/06/23;Para Fabrica;Sijia - Red 18oz Fabric;2;100
07/06/23;Para Fabrica;Sijia - Yellow 18oz Fabric;2;100
14/06/23;Para Fabrica;Lona Impresi—n;1;50
14/06/23;Para Fabrica;Sijia - 1500D;2;100
16/06/23;Para Fabrica;Sijia - Orange 18oz Fabric;1;50
16/06/23;Para Fabrica;Sijia - White 18oz Fabric;1;50
18/06/23;Para Fabrica;Dropstich 20cm;1;60
04/07/23;Para Fabrica;Mesh Negro;1;50
04/07/23;Para Fabrica;Sijia - 1500D;1;50
04/07/23;Para Fabrica;Sijia - Azul/Naranja;2;100
04/07/23;Para Fabrica;Sijia - Blue 18oz Fabric;2;100
04/07/23;Para Fabrica;Sijia - Cyan 18oz Fabric;1;50
04/07/23;Para Fabrica;Sijia - Green 18oz Fabric;2;100
04/07/23;Para Fabrica;Sijia - Gris/Blanco;1;50
04/07/23;Para Fabrica;Sijia - Yellow 18oz Fabric;1;50
05/07/23;Para Fabrica;Sijia - Azul/Naranja;2;100
12/07/23;Para Fabrica;Mesh Negro;3;150
12/07/23;Para Fabrica;Sijia - Azul/Naranja;4;200
13/07/23;Para Fabrica;Sijia - Purple 18oz Fabric;5;250
13/07/23;Para Fabrica;Sijia - Yellow 18oz Fabric;2;100
28/07/23;Para Fabrica;Dropstich 20cm;1;60
02/08/23;Para Fabrica;Sijia - 1500D;1;50
02/08/23;Para Fabrica;Sijia - Blue 18oz Fabric;1;50
02/08/23;Para Fabrica;Sijia - Cyan 18oz Fabric;1;50
04/08/23;Para Fabrica;Sijia - 1500D;2;100
04/08/23;Para Fabrica;Sijia - Blue 18oz Fabric;2;100
04/08/23;Para Fabrica;Sijia - Cyan 18oz Fabric;2;100
04/08/23;Para Fabrica;Sijia - Orange 18oz Fabric;1;50
04/08/23;Para Fabrica;Sijia - Red 18oz Fabric;1;50
08/08/23;Para Fabrica;Mesh Negro;2;100
11/08/23;Para Fabrica;Sijia - Azul/Naranja;2;100
11/08/23;Para Fabrica;Sijia - Black 18oz Fabric;1;50
11/08/23;Para Fabrica;Sijia - Gris/Blanco;2;100
18/08/23;Para Fabrica;Mesh Negro;2;100
18/08/23;Para Fabrica;Sijia - Black 18oz Fabric;1;50
18/08/23;Para Fabrica;Sijia - Green 18oz Fabric;1;50
